Company,Valuation,Funding,Select Investors,Country,Continent,Founders
Modern Treasury,$2B,$183M,Altimeter Capital,United States,North America,"Dimitri Dadiomov, Matt Marcus, Sam Arons"
G7,$2B,$710M,CS Capital, Trustbridge Partners,China,Not Found
Bloomreach,$2B,$422M,Goldman Sachs Asset Management,United States,North America,"Raj De Datta, Ashutosh Garg"
Dialpad,$2B,$450M,ICONIQ Growth,United States,North America,"Craig Walker, John Rector, Brian Peterson"
NuCom Group,$2B,$550M,General Atlantic,Germany,Europe,Not Found
Transcarent,$2B,$424M,7wire Ventures, General Catalyst,United States,Glen Tullman
Skydio,$2B,$740M,Linse Capital,United States,North America,"Adam Bry, Abe Bachrach, Matt Donahoe"
Kavak,$2B,$2B,General Atlantic, SoftBank,Mexico,Carlos García Ottati
Turing,$2B,$247M,Khazanah Nasional,United States,North America,Alan Turing
Newfront,$2B,$310M,B Capital, Goldman Sachs Asset Management,United States,"Spike Lipkin, Gordon Wintrob, Aaron Forth, Michael Brown, Bethany Hale"
Zip,$2B,$371M,Bond,United States,North America,"Peter Gray, Larry Diamond, Rujul Zaparde"
Pennylane,$2B,$237M,CapitalG, Meritech Capital Partners,France,"Arthur Waller, Edouard Mascré, Alexandre Roquoplo"
Market Kurly,$2B,$858M,Anchor Equity Partners,South Korea,Asia,Sophie Kim
Planet Payment,$2B,$21M,Michael Margolies,Ireland,Europe,Not Found
Huaqin Communication Technology,$2B,$298M,ZJ Innopark (Zhangjiang Hi-Tech Park),China,Asia,Qiu Wensheng
Inari,$2B,$708M,Alexandria Venture Investments, Flagship Pioneering,United States,"David Berry, Ignacio Martinez, John Casey"
Chint Anneng Digital Energy,$2B,$729M,,China,Asia,Lu Chuan
JD Industry,$2B,$530M,Mubadala,China,Asia,"John Wardle, David Makin"
CloudWalk,$2B,$345M,Coatue,Brazil,South America,Luis Silva
CoinDCX,$2B,$247M,Pantera Capital, Steadview Capital,India,"Sumit Gupta, Neeraj Khandelwal"
Rimac Group,$2B,$876M,Goldman Sachs, SoftBank Vision Fund,Croatia,Mate Rimac
ABLY Corporation,$2B,$220M,Alibaba Group,South Korea,Asia,"Matthew O'Riordan, Paddy Byers"
Synthesia,$2B,$337M,Adobe Ventures,United Kingdom,Europe,"Victor Riparbelli, Steffen Tjerrild"
bolttech,$2B,$493M,Dragon Fund,Singapore,Asia,Rob Schimek
2TM,$2B,$250M,MercadoLibre,Brazil,South America,"Gustavo Chamati, Mauricio Chamati, Mauritius Chamati"
Docker,$2B,$436M,Bain Capital Ventures,United States,North America,Solomon Hykes
Jeeves Inc.,$2B,$268M,Tencent,United States,North America,"Dileep Thazhmon, Sherwin Gandhi"
Forto,$2B,$593M,Disruptive,Germany,Europe,"Michael Wax, Ferry Heilemann, Erik Muttersbach, Fabian Heilemann"
Recharge,$2B,$277M,Summit Partners,United States,North America,"Oisin O'Connor, Mike Flynn"
Medable,$2B,$507M,Blackstone Accelerates Growth, GSR Ventures,United States,"Fernando Waigandt, James Sas, Michelle Longmire, Perry Robinson, Tim Smith"
GoCardless,$2B,$529M,Permira,United Kingdom,Europe,"Hiroki Takeuchi, Tom Blomfield, Matt Robinson"
Urban Company,$2B,$371M,Dragoneer Investment Group, Prosus Ventures,India,"Raghav Chandra, Abhiraj Bhal, Varun Khaitan"
Eightfold AI,$2B,$397M,SoftBank Vision Fund,United States,North America,"Ashutosh Garg, Varun Kacholia"
Engine,$2B,$221M,Permira,United States,North America,Not Found
Taobao Movie,$2B,$260M,Ant Group, CDH Investments,China,Alibaba Group
Kong,$2B,$344M,Balderton Capital, Tiger Global Management,United States,"Joe Markham, Augusto Marietti, Marco Palladino, Michele Zonca"
Biren Technology,$2B,$576M,C Ventures, Country Garden,China,"Lingjie Xu, Zhang Wen"
Runpeng Semiconductor,$2B,$2B,China Resources Microelectronics,China,Asia,Not Found
PayFit,$2B,$496M,General Atlantic,France,Europe,Firmin Zocchetto
Tianbing Technology,$2B,$238M,CITIC Construction Investment,China,Asia,Kang Yonglai
Voodoo,$2B,$517M,Groupe Bruxelles Lambert,France,Europe,"Alexandre Yazdi, Laurent Ritter"
ZigBang,$2B,$282M,Shinhan Venture Investment,South Korea,Asia,Jason Ahn
Flash Express,$2B,$781M,Buer Capital,Thailand,Asia,"Komsan Lee, Komsan Saelee"
Kunlun Core,$2B,$253M,Beijing Artificial Intelligence Industry Investment Fund,China,Asia,Zhou Yahui
Kry,$2B,$728M,CPP Investments, Fidelity,Sweden,"Johannes Schildt, Fredrik Jung Abbou, Josefin Landgard"
Zilch,$2B,$414M,eBay Ventures,United Kingdom,Europe,"Philip Belamant, Sean O'Connor"
Kunlun,$2B,$0,CPE,China,Asia,Zhou Yahui
Salsify,$2B,$453M,TPG,United States,North America,"Rob Gonzalez, Jason Purcell, Jeremy Redburn"
Babel Finance,$2B,$120M,10T Holdings, Jeneration Capital,Hong Kong,"Del Wang, Flex Yang"
ROX Motor,$2B,$1B,Shandong Weiqiao Pioneering Group,China,Asia,"Zhang Jin, Feng Yan, Jing Chang"
Clear Street,$2B,$470M,Prysm Capital,United States,North America,"Chris Pento, Uriel Cohen, Sachin Kumar"
Copper,$2B,$266M,Alan Howard,United Kingdom,Europe,"Rio Infantino, Greg Hanna"
21.co,$2B,$35M,Marshall Wace,Switzerland,Europe,"Balaji Srinivasan, Matthew Pauker, Hany Rashwan, Ophelia Snyder"
Mysten Labs,$2B,$336M,FTX Ventures,United States,North America,"George Danezis, Evan Cheng, Sam Blackshear, Adeniyi Emmanuel Abiodun"
DeepL,$2B,$400M,Index Ventures,Germany,Europe,"Jarek Kutylowski, Gereon Frahling, Leonard Fink"
ShiftKey,$2B,$300M,Lorient Capital,United States,North America,"Rafal Marczynski, Matt Creason, Tom Ellis"
Xpansiv,$2B,$318M,Bank of America, Goldman Sachs,United States,"Jason Libersky, Jeff Cohen, Joe Madden"
Polygon,$2B,$451M,Mark Cuban,India,Asia,"Jaynti Kanani, Sandeep Naiwal, Anurang Arjun"
Pipe,$2B,$316M,Greenspring Associates,United States,North America,Not Found
Mural,$2B,$194M,Insight Partners, Tiger Global Management,United States,"Agustin Soler, Mariano Battan"
CertiK,$2B,$300M,SoftBank Vision Fund, Tiger Global Management,United States,"Zhong Shao, Ronghui Gu"
Pantheon,$2B,$200M,SoftBank Vision Fund,United States,North America,Not Found
Hive,$2B,$121M,Glynn Capital Management,United States,North America,Andrea
Redis,$2B,$356M,Tiger Global Management,United States,North America,"Ofer Bengal, Yiftach Shoolman"
Iterable,$2B,$342M,Viking Global Investors,United States,North America,"Justin Zhu, Andrew Boni, Jon Zhang"
Everlaw,$2B,$299M,TPG Growth,United States,North America,AJ Shankar
Unqork,$2B,$365M,BlackRock,United States,North America,Gary Hoberman
Druva,$2B,$475M,Caisse de Depot et Placement du Quebec,United States,North America,"Jaspreet Singh, Milind Borate, Ramani Kothandaraman"
Aviatrix,$2B,$341M,TCV,United States,North America,"Pankaj Manglik, Sherry Wei"
Clip,$2B,$481M,Morgan Stanley Tactical Value,Mexico,North America,"Adolfo Babatz, Vilash Poovala, Somnath Ray, Clement de Alcala"
Kajabi,$2B,$550M,Tiger Global Management,United States,North America,"Kenny Rueter, Travis Rosser"
Cloudinary,$2B,$0,,United States,North America,"Itai Lahan, Tal Lev-Ami, Nadav Soferman"
Netlify,$2B,$212M,Bessemer Venture Partners,United States,North America,"Mathias Biilmann, Christian Bach"
OPay,$2B,$570M,SoftBank Vision Fund,Nigeria,Africa,"Geir Ivarsoy, Lars Boilesen"
Misfits Market,$2B,$527M,SoftBank Vision Fund,United States,North America,"Abhi Ramesh, Laurel Orley"
Claroty,$2B,$740M,Delta-v Capital,United States,North America,"Galina Antova, Amir Zilberstein, Benny Porat"
Apeel Sciences,$2B,$640M,Temasek Holdings,United States,North America,"James Rogers, Jenny Du, Louis Perez"
Formlabs,$2B,$251M,SoftBank Vision Fund,United States,North America,"Maxim Lobovsky, Natan Linder, David Cranor"
LTK,$2B,$315M,SoftBank Vision Fund,United States,North America,"Amber Venz Box, Baxter Box"
BlaBlaCar,$2B,$464M,IFC,France,Europe,"Frédéric Mazzella, Nicolas Brusson, Francis Nappez"
Pivot Bio,$2B,$617M,DCVC, Temasek Holdings,United States,"Alvin Tamsir, Karsten Temme"
Viva Wallet,$2B,$190M,JP Morgan,Greece,Europe,"Haris Karonis, Makis Antypas, Panos Tsakos"
Advance Intelligence Group,$2B,$616M,Northstar Group, Warburg Pincus,Singapore,"Reuben Lai, Jefferson Chen"
XINGYUN GROUP,$2B,$950M,Crescent Point, Harvest Global Investments,China,"Matthew Chen, Wang Wei Billy"
Mafengwo,$2B,$503M,Guizhou Innovation Empowerment Big Data Investment Fund,China,Asia,"Gang Chen, Gang Lv"
Magic Leap,$2B,$3B,NTT DoCoMo,United States,North America,Rony Abovitz
OCSiAl Group,$2B,$265M,Da Vinci Capital,Luxembourg,Europe,"Yuri Koropachinsky, Oleg Kirillov, Yuri Zelvensky, Mikhail Predtechensky"
Aleph Holding,$2B,$495M,Snap,United States,North America,Not Found
ManyPets,$2B,$483M,EQT,United Kingdom,Europe,"Steven Mendel, Guy Farley"
Dremio,$2B,$410M,Adams Street Partners,United States,North America,Tomer Shiran
4Paradigm,$2B,$1B,Boyu Capital, HOPU Investment Management Company,China,"Feng Tian, Qiang Yang, Shiwei Hu, Wenyuan Dai, Yuqiang Chen"
InMobi,$2B,$221M,Lightbox,India,Asia,"Naveen Tewari, Mohit Saxena, Amit Gupta, Abhay Singhal"
ClickHouse,$2B,$300M,Thrive Capital,United States,North America,"Aaron Katz, Yury Izrailevsky, Alexey Milovidov"
AppsFlyer,$2B,$293M,Salesforce Ventures,United States,North America,"Oren Kaniel, Reshef Mann"
Saks.com,$2B,$500M,STORY3 Capital Partners,United States,North America,"Andrew Saks, Isadore Saks, Horace Saks, William Saks, Bernard Gimbel"
Calm,$2B,$218M,Lightspeed Venture Partners,United States,North America,"Michael Acton Smith, Alex Tew"
Momo,$2B,$434M,Mizuho Bank,Vietnam,Asia,"Sagar Daryani, Binod Homagai"
Guoquan Shihui,$2B,$552M,CMB International Capital Corporation, Tiantu Capital,China,Yang Mingchao
To8to,$2B,$216M,HSG,China,Asia,Guobin Wang
Tradeshift,$2B,$931M,HSBC,United States,North America,"Christian Lanng, Mikkel Hippe Brun, Gert Sylvest"
Keep,$2B,$614M,SoftBank Vision Fund,China,Asia,"David Moeller, Hagberg, Tien Tzuo, Glazner, Borenstein"
Virta Health,$2B,$373M,Tiger Global Management,United States,North America,Sami Inkinen
Naixuecha,$2B,$216M,PAG,China,Asia,"Peng Xin, Gang He"
Firstp2p,$2B,$111M,CCB International,China,Asia,Not Found
ISN Software Corporation,$2B,$0,Blackstone Group,United States,North America,William Addy
Trendy International Group,$2B,$200M,L Catterton Asia,China,Asia,"Jacky Xu, Coral Li"
Acorns,$2B,$510M,TPG,United States,North America,"Walter Cruttenden, Jeffrey Cruttenden, Mark Dru, Jason Martell"
Solugen,$2B,$642M,Kinnevik, Lowercarbon Capital,United States,"Gaurab Chakrabarti, Sean Hunt"
Zeta,$2B,$390M,Optum,United States,North America,Not Found
Moloco,$2B,$216M,Premier Partners,United States,North America,"David Sehyuk Park, Ikkjin Ahn, John Kim"
Persona,$2B,$418M,Founders Fund, Ribbit Capital,United States,Rick Song
Devo,$2B,$481M,Eurazeo,United States,North America,"Gerald Casale, Bob Lewis"
Marshmallow,$2B,$161M,Portage Ventures,United Kingdom,Europe,"Alexander, Oliver Kent-Braham"
Neo4j,$2B,$631M,Noteus Partners,United States,North America,"Emil Eifrem, Johan Svensson, Peter Neubauer"
Trax,$2B,$1B,BlackRock, SoftBank Vision Fund,Singapore,"Joel Bar-El, Dror Feldheim"
SmartNews,$2B,$410M,Asian Capital Alliance, Japan Post Capital,Japan,"Ken Suzuki, Naoto Yoshida"
Locus Robotics,$2B,$416M,G2 Venture Partners, Goldman Sachs Asset Management,United States,Bruce Welty
Verbit,$2B,$432M,Third Point Ventures,United States,North America,"Tom Livne, Eric Shellef, Kobi Ben Tzvi"
Loggi,$2B,$507M,CapSur Capital,Brazil,South America,"Fabien Mendez, Arthur Debert, Eduardo Wexler"
Farfetch China,$2B,$500M,Alibaba Group, Richemont,China,"José Neves, Judy Liu, Alexis Bonhomme"
The Bot Company,$2B,$300M,Greenoaks,United States,North America,"Kyle Vogt, Paril Jain, Luke Holoubek"
Mercor,$2B,$134M,Felicis,United States,North America,"Foody, Midha, Hiremath, Brendan, Adarsh, Surya"
BlinkRx,$2B,$315M,1789 Capital,United States,North America,"Geoffrey Chaiken, Matthew Chaiken"
Supabase,$2B,$396M,Accel,United States,North America,"Paul Copplestone, Ant Wilson"
Chaos,$2B,$490M,New Enterprise Associates,United States,North America,"Peter Mitev, Vladimir Koylazov"
Melio,$2B,$654M,Fiserv,United States,North America,"Matan Bar, Dafna Bareket"
Sila,$2B,$1B,Sutter Hill Ventures, T. Rowe Price,United States,"Gene Berdichevsky, Alex Jacobs"
Insider,$2B,$772M,General Atlantic,Singapore,Asia,"Henry Blodget, Kevin P. Ryan, Hande Cilingir, Okan Yedibela, Mehmet Sinan Toktay, Arda Koterin, Muharrem Derinkok, Serhat Soyuerel"
Firefly Aerospace,$2B,$647M,RPM Ventures,United States,North America,"Eric Salwan, Max Polyakov, Michael Blum, PJ King, Thomas Markusic"
Axiom Space,$2B,$500M,1789 Capital, Type One Ventures,United States,"Michael T. Suffredini, Kam Ghaffarian"
Drata,$2B,$455M,ICONIQ Growth, Notable Capital,United States,"Adam Markowitz, Daniel Marashlian, Troy Markowitz"
GetYourGuide,$2B,$741M,Blue Pool Capital,Germany,Europe,"Johannes Reck, Tao Tao, Tobias Rein, Martin Sieber"
Lessen,$2B,$735M,Legacy Knight,United States,North America,Jay McKee
Geek+,$2B,$539M,CPE,China,Asia,"Yong Zheng, Xi Chen, Liu Kai, Hongbo Li"
ICON,$2B,$507M,Norwest Venture Partners, Tiger Global Management,United States,Not Found
Preferred Networks,$2B,$350M,SBI Group,Japan,Asia,"Toru Nishikawa, Daisuke Okanohara"
Lunar,$2B,$514M,Heartland,Denmark,Europe,"Ken Villum Klausen, Peter Andreasen"
Clearco,$2B,$493M,Founders Circle Capital, Inovia Capital,Canada,Michele Romanow
TIER Mobility,$2B,$587M,SoftBank Vision Fund,Germany,Europe,"Lawrence Leuschner, Matthias Laug, Julian Blessin"
Exotec,$2B,$447M,Goldman Sachs Asset Management,France,Europe,"Renaud Heitz, Romain Moulin"
Ankorstore,$2B,$422M,Bond,France,Europe,"Nicolas Cohen, Nicolas d'Audiffret, Mathieu Alengrin, Pierre-Louis Lacoste"
Avant,$2B,$654M,Ares Management,United States,North America,"Al Goldstein, John Sun, Paul Zhang"
Sky Mavis,$2B,$311M,Binance,Vietnam,Asia,"Trung Nguyen, Aleksander Leonard Larsen, Jeffrey Zirlin"
JOLED,$2B,$838M,CSOT,Japan,Asia,Not Found
Vital Thin Film Materials,$2B,$813M,CICC,China,Asia,George Zhu
Roofstock,$2B,$365M,SoftBank Vision Fund,United States,North America,"Devin Wade, Gary Beasley, Gregor Watson, Rich Ford"
YinLong Group,$2B,$432M,,China,Asia,Not Found
SemiDrive,$2B,$504M,Shang Qi Capital,China,Asia,"Zhang Qiang, Qiu Yujing"
Tianyu Semiconductor,$2B,$177M,,China,Asia,Not Found
commercetools,$2B,$308M,Accel,Germany,Europe,"Dirk Hoerig, Denis Werner"
ConcertAI,$2B,$300M,Sixth Street,United States,North America,Not Found
CoinSwitch,$2B,$301M,Andreessen Horowitz, Coinbase Ventures,India,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari"
MX Technologies,$2B,$450M,TPG,United States,North America,"Brandon Dewitt, Ryan Caldwell"
Altruist,$2B,$602M,GIC,United States,North America,Jason Wenk
Material Bank,$2B,$323M,Brookfield Growth,United States,North America,Adam I. Sandow
JIANGXIAOBAI,$2B,$453M,China Renaissance,China,Asia,Shiquan Tao
Writer,$2B,$326M,ICONIQ Growth, Premji Invest,United States,"May Habib, Waseem AlShikh"
DFINITY,$2B,$121M,Andreessen Horowitz, Polychain,Switzerland,Dominic Williams
Zhenkunxing,$2B,$999M,YF Capital,China,Asia,Not Found
Volocopter,$2B,$544M,NEOM,Germany,Europe,"Alexander Zosel, Stephan Wolf"
SFCC,$2B,$817M,,China,Asia,Not Found
MegazoneCloud,$2B,$673M,IMM Private Equity, MBK Partners,South Korea,"Willy Cho, Joo-Wan Lee"
Ninja Van,$2B,$975M,Alibaba Group,Singapore,Asia,"Lai Chang Wen, Shaun Chong, Boxian Tan"
Olipop,$2B,$93M,J.P. Morgan Growth Equity Partners,United States,North America,"Ben Goodwin, David Lester"
bunq,$2B,$423M,Pollen Street Capital,The Netherlands,Europe,Ali Niknam
DailyPay,$2B,$264M,Carrick Capital Partners,United States,North America,"Jason Lee, Robert Law"
Sineva,$2B,$253M,Peakview Capital,China,Asia,Yanjun Wang
Kindbody,$2B,$206M,Morgan Health,United States,North America,Not Found
Fever,$2B,$409M,Goldman Sachs,United States,North America,"Pep Gómez, Ignacio Bachiller, Francisco Hein, Alexandre Pérez"
Scroll.io,$2B,$81M,Qiming Venture Partners,Seychelles,Africa,"Sandy Peng, Ye Zhang, Haichen Shen"
Diamond Foundry,$2B,$350M,,United States,North America,"Martin Roscheisen, Jeremy Scholz"
SJ Semi,$2B,$2B,Walden International,China,Asia,Not Found
Udaan,$2B,$2B,M&G Plc,India,Asia,"Amod Malviya, Vaibhav Gupta, Sujeet Kumar"
Neko Health,$2B,$325M,Lightspeed Venture Partners,Sweden,Europe,"Hjalmar Nilsonne, Daniel Ek"
Orca Security,$2B,$632M,Temasek Holdings,United States,North America,"Avi Shua, Gil Geron"
Watershed,$2B,$239M,Greenoaks,United States,North America,"Taylor Francis, Avi Itskovich, Christian Anderson"
Lightricks,$2B,$305M,Hanaco Venture Capital, Insight Partners,Israel,"Itai Tsiddon, Zeev Farbman, Yaron Inger, Nir Pochter, Amit Goldstein"
Zocdoc,$2B,$374M,Francisco Partners,United States,North America,"Cyrus Massoumi, Nick Ganju, Oliver Kharraz"
FullStory,$2B,$197M,Permira,United States,North America,"Scott Voigt, Bruce Johnson, Joel Webber"
Opentrons,$2B,$240M,SoftBank Vision Fund,United States,North America,"Chiu Chau, Nicholas Wagner"
Quest Global,$2B,$731M,The Carlyle Group,Singapore,Asia,"Ajit Prabhu, Aravind Melligeri"
Glossier,$2B,$266M,Lone Pine Capital,United States,North America,Emily Weiss
Landa Digital Printing,$2B,$485M,Altana,Israel,Asia,Benny Landa
Meril Life,$2B,$200M,Warburg Pincus,India,Asia,Not Found
Gousto,$2B,$372M,SoftBank Vision Fund,United Kingdom,Europe,Timo Boldt
Spinny,$2B,$586M,Accel,India,Asia,"Niraj Singh, Ramanshu Mahaur, Mohit Gupta, Ganesh Pawar, Aarti Gupta"
Kaseya,$2B,$547M,TPG,Ireland,Europe,Fred Voccola
Trulioo,$2B,$474M,TCV,Canada,North America,"Stephen Ufford, Tanis Jorge"
Akulaku Group,$2B,$638M,Mitsubishi UFJ Financial Group,Indonesia,Asia,"William Li, Gordon Hu"
BitGo,$2B,$172M,Brink's,United States,North America,"Mike Belshe, Ben Davenport"
NantOmics,$2B,$251M,NantHealth,United States,North America,Patrick Soon-Shiong
ID.me,$2B,$274M,Viking Global Investors,United States,North America,"Blake Hall, Matt Thompson, Tanel Suurhans"
Productboard,$2B,$261M,Dragoneer Investment Group, Tiger Global Management,United States,"Hubert Palan, Daniel Hejl"
Temporal Technologies,$2B,$350M,Tiger Global Management,United States,North America,"Samar Abbas, Maxim Fateev"
Maropost,$2B,$0,,Canada,North America,Not Found
Multiverse,$2B,$419M,General Catalyst, Lightspeed Venture Partners,United Kingdom,"Euan Blair, Sophie Adelman"
Front,$2B,$204M,Battery Ventures, Salesforce Ventures,United States,Mathilde Collin
Redesign Health,$2B,$315M,General Catalyst,United States,North America,"Brett Shaheen, Natalie Scheider"
Micro Connect,$2B,$578M,Jane Street Capital,,,"Charles Li, Li Ka-shing, Adrian Cheng"
Glance,$2B,$390M,Reliance Jio,Singapore,Asia,"Naveen Tewari, Abhay Singhal, Mohit Saxena, Piyush Shah"
CircleCI,$2B,$315M,Greenspring Associates,United States,North America,"Paul Biggar, Allen Rohner"
Pax8,$2B,$342M,SoftBank Vision Fund,United States,North America,"John Street, Ryan Walsh, Klaus Dimmler"
H2O.ai,$2B,$251M,Commonwealth Bank of Australia,United States,North America,"Sri Ambati, Sri Satish Ambati"
ZenBusiness,$2B,$277M,Oak HC/FT,United States,North America,"Ross Buhrdorf, Rafael Lopez, Shanaz Hemmati, Art Flores"
Spotter,$2B,$238M,SoftBank Vision Fund,United States,North America,"Aaron DeBevoise, Christopher Bruno"
DispatchHealth,$2B,$733M,Optum Ventures,United States,North America,"Mark Prather, Kevin Riddleberger"
Harry's,$2B,$907M,STORY3 Capital Partners,United States,North America,"Andy Katz-Mayfield, Jeff Raider"
Reltio,$2B,$237M,Brighton Park Capital,United States,North America,"Manish Sood, Anastasia Zamyshlyaeva"
PAX Labs,$2B,$2B,Tao Capital Partners, Tiger Global Management,United States,"James Monsees, Adam Bowen"
Carsome,$2B,$577M,65 Equity Partners, Qatar Investment Authority,Malaysia,Eric Cheng
Dragos,$2B,$432M,WestCap,United States,North America,Not Found
HomeLight,$2B,$299M,Zeev Ventures,United States,North America,Drew Uher
Wave Mobile Money,$2B,$210M,Alameda Research,Senegal,Africa,Drew Durbin
Alation,$2B,$315M,NTT DOCOMO Ventures,United States,North America,"Aaron Kalb, Satyen Sangani, Venky Ganti, Feng Niu"
VTS,$2B,$312M,Brookfield Growth,United States,North America,"Nick Romito, Ryan Masiello, Karl Baum"
Maven Clinic,$2B,$417M,StepStone Group,United States,North America,Kate Ryder
Razor Group,$2B,$355M,Presight Capital,Germany,Europe,"Tushar Ahluwalia, Mark A Hartmann, Jonas Diezun, Oliver Dlugosch, Shrestha Chowdhury, Christoph Felix Gamon"
Vestiaire Collective,$2B,$643M,Generation Investment Management, SoftBank Vision Fund,France,"Fanny Moizant, Sophie Hersan"
Tessera Therapeutics,$2B,$582M,Bill & Melinda Gates Foundation,United States,North America,"Geoffrey von Maltzahn, Jacob Rubens, Noubar Afeyan"
Enflame,$2B,$746M,China Fintech Fund, Shanghai GuoHe Capital,China,"Zhao Lidong, Zhang Yalin"
DealShare,$2B,$378M,Alpha Wave Global, Tiger Global Management,India,"Rajat Shikhar, Sankar Bora, Sourjyendu Medda, Vineet Rao"
SafetyCulture,$2B,$294M,Airtree Ventures,Australia,Oceania,"Robyn Denholm, Craig Tiley, Jan Hammer, Scott Farquhar, Luke Anear"
Kredivo Group,$2B,$530M,Mizuho Bank,Indonesia,Asia,"Akshay Garg, Alie Tan, Umang Rustagi"
Incredible Health,$2B,$100M,Base10 Partners,United States,North America,Iman Abuzeid
Optimism,$2B,$179M,Andreessen Horowitz, Paradigm,United States,"Jinglan Wang, Benjamin Jones, Kevin Ho, Karl Floersch"
Dexterity,$2B,$291M,Kleiner Perkins, Lightspeed Venture Partners,United States,Samir Menon
Hippocratic AI,$2B,$276M,Kleiner Perkins,United States,North America,"Munjal Shah, Vishal Parikh, Saad Godil, Meenesh Bhimani, Alex Miller, Subhabrata Mukherjee, Debajyoti Datta, Kim Parikh, Shae McLaughlin, Liv G"
Zhubajie,$2B,$445M,Chongqing New North Zone Government Investment Fund, Cybernaut Venture Capital,China,Not Found
Capitolis,$2B,$302M,9Yards Capital, Canapi Ventures,United States,"Gil Mandelzis, Tom Glocer"
Wayflyer,$2B,$236M,DST Global, QED Investors,Ireland,Not Found
Extend, Inc.,$2B,$320M,SoftBank Vision Fund,United States,Not Found
Unite Us,$2B,$195M,ICONIQ Capital,United States,North America,"Dan Brillman, Taylor Justice"
Cresta,$2B,$276M,Qatar Investment Authority, WiL (World Innovation Lab),United States,"Andre Esteva, Sebastian Thrun, Shan Huang, Tim Shi, Zayd Enam"
Afiniti,$2B,$120M,,Bermuda,North America,Zia Chishti
ASAPP,$2B,$380M,Dragoneer Investment Group, Fidelity,United States,"Gustavo Sapoznik, Marcus Westin"
Toss Bank,$2B,$737M,Welcome Capital,South Korea,Asia,Lee Seung-gun
ezCater,$2B,$421M,SoftBank Vision Fund,United States,North America,"Stefania Mallett, Briscoe Rodgers"
Bianlifeng,$2B,$656M,Hillhouse Investment, Tencent,China,Zhuang Chenchao
Pathos,$2B,$447M,New Enterprise Associates,United States,North America,"Ryan Fukushima, Eric Lefkofsky"
MediTrust Health,$2B,$308M,HSBC China,China,Asia,"Seth Zhang, Kiki Qu, Zhang Xiaodong, John Ho"
Aura,$2B,$663M,Madrone Capital Partners, Ten Eleven Ventures,United States,Hari Ravichandran
DataStax,$2B,$343M,GS Growth,United States,North America,"Jonathan Ellis, Matt Pfeil"
Monte Carlo,$2B,$236M,IVP,United States,North America,Not Found
Magic Eden,$2B,$300M,Electric Capital, Greylock,United States,"Sidney Zhang, Jack Lu, Zhuoxun Yin, Zhuojie Zhou"
Pave,$2B,$163M,Index Ventures,United States,North America,"Matt Schulman, Justin Mitchell, Sal Lahoud, Oren Bass"
Molbio Diagnostics,$2B,$117M,Temasek Holdings,India,Asia,"Sriram Natarajan, Chandrasekhar Nair"
Apollo.io,$2B,$251M,Bain Capital Ventures,United States,North America,Tim Zheng
WEKA,$2B,$415M,Valor Equity Partners,United States,North America,"Liran Zvibel, Maor Ben-Dayan, Omri Palmon"
Cart.com,$2B,$604M,Legacy Knight,United States,North America,"Jim Jacobsen, Omair Tariq"
FloQast,$2B,$303M,ICONIQ Growth,United States,North America,"Mike Whitmire, Chris Sluty, Cullen Zandstra"
Chronosphere,$2B,$342M,CrowdStrike Falcon Fund,United States,North America,"Martin Mao, Rob Skillington"
AIWAYS,$2B,$792M,Fujian Dongbai (Group),China,Asia,"Fu Qian, Gu Feng"
Ascend Elements,$2B,$1B,Decarbonization Partners, Qatar Investment Authority,United States,"Eric Gratz, Yan Wang, Diran Apelian"
GalaxySpace,$2B,$14M,CCB International,China,Asia,"Manat Manavutiveth, Xu Ming"
Fresh Life Style Supply Chain Management,$2B,$93M,,China,Asia,Not Found
Nexii,$2B,$113M,Horizon Technology Finance, Trinity Capital,Canada,"Ben Dombowsky, Michael Dombowsky, Stephen Sidwell, Blake L. Beckham"
Caocao Chuxing,$2B,$744M,Suzhou Xiangcheng Financial Holding Group,China,Asia,Jinliang Liu
SmartHR,$2B,$322M,Kohlberg Kravis Roberts Japan, Teachers' Venture Growth,Japan,"Kensuke Naito, Shoji Miyata"
NMI,$2B,$0,Great Hill Partners,United States,North America,"John Benedict Lust Jr, Benedict Lust"
Alloy,$2B,$213M,Avenir, Lightspeed Venture Partners,United States,"Tommy Nicholas, Laura Spiekerman, Charles Hearn"
Kitopi,$2B,$804M,SoftBank Vision Fund,United Arab Emirates,Asia,"Mohamad Ballout, Saman Darkan, Bader Ataya, Andy Arenas"
ESWIN Computing,$2B,$1B,Beijing Financial Street Capital Operation Center, Guoxin Zhuoyue Venture Capital,China,Wang Dongsheng
Wellong Etown,$2B,$0,CCB International,China,Asia,"Wang Fenyu, Shi Wenjin"
Matrixport,$2B,$138M,C Ventures, DST Global,Singapore,"Daniel Yan, Jihan Wu, Yuesheng Ge"
Wenheyou,$2B,$91M,IDG Capital,China,Asia,"Wen Bin, Weng Donghua, Yang Qianjun"
Qinghai Lihao,$2B,$306M,,China,Asia,Hainan Haofan Investment Company
StoreDot,$2B,$190M,Ola Electric, Polestar,Israel,"Doron Myersdorf, Simon Litsyn, Gil Rosenman"
Main Street Health,$2B,$342M,Oak HC/FT,United States,North America,Brad Smith
